timestamp,sessions,subscriptions,messages_inbound,messages_outbound,received_kb,sent_kb,total_kb
2026-04-28 17:12:45,1,1,0,12435,0.3779,125688.4043,125688.7822
2026-04-28 17:13:44,1,1,0,12435,0.3799,125688.4062,125688.7861
2026-04-28 17:14:44,22,64,0,12511,6.585,126205.3223,126211.9072
2026-04-28 17:15:44,22,64,1336,13863,4220.5723,130175.0186,134395.5908
2026-04-28 17:16:44,22,64,2741,15246,8253.6816,134123.7578,142377.4395
2026-04-28 17:17:44,22,64,4136,16620,12272.4434,138094.96,150367.4033
2026-04-28 17:18:44,22,64,5529,17997,16291.3193,142079.3135,158370.6328
2026-04-28 17:19:44,22,64,6947,19396,20303.9824,146037.4971,166341.4795
2026-04-28 17:20:44,22,64,8362,20796,24323.001,150009.9463,174332.9473
2026-04-28 17:21:44,22,64,9784,22194,28350.2705,153975.9473,182326.2178
2026-04-28 17:22:44,22,64,11208,23607,32361.3535,157948.3105,190309.6641
2026-04-28 17:23:44,22,64,12635,25028,36356.7803,161924.7852,198281.5654
2026-04-28 17:24:44,22,64,13991,26447,40173.1475,165894.8203,206067.9678
2026-04-28 17:25:44,22,64,15428,27868,44177.3037,169857.0898,214034.3936
2026-04-28 17:26:44,22,64,16863,29305,48117.79,173819.8496,221937.6396
2026-04-28 17:27:44,22,64,18276,30739,52050.8281,177800.8203,229851.6484
2026-04-28 17:28:44,22,64,19719,32153,56093.7754,181769.4883,237863.2637
2026-04-28 17:29:44,22,64,21127,33565,60059.9492,185733.6084,245793.5576
2026-04-28 17:30:44,22,64,22552,34978,64078.001,189705.5273,253783.5283
2026-04-28 17:31:44,22,64,23943,36396,67943.1787,193668.0703,261611.249
2026-04-28 17:32:44,22,64,25343,37814,71851.335,197635.417,269486.752
2026-04-28 17:33:44,22,64,26756,39238,75772.5605,201601.9648,277374.5254
2026-04-28 17:34:44,22,64,28231,40682,79831.8623,205583.4229,285415.2852
2026-04-28 17:35:44,22,64,29672,42117,83831.6387,209549.4639,293381.1025
2026-04-28 17:36:44,22,64,31105,43536,87823.9922,213516.376,301340.3682
2026-04-28 17:37:44,22,64,32537,44970,91820.4277,217497.3398,309317.7676
2026-04-28 17:38:44,22,64,33976,46404,95805.1172,221456.2285,317261.3457
2026-04-28 17:39:44,22,64,35358,47832,99658.4736,225432.2314,325090.7051
2026-04-28 17:40:44,22,64,36777,49265,103590.5225,229400.9541,332991.4766
2026-04-28 17:41:44,22,64,38197,50700,107497.6299,233365.3477,340862.9775
2026-04-28 17:42:44,22,64,39665,52134,111556.9727,237336.8896,348893.8623
2026-04-28 17:43:44,22,64,41114,53574,115564.8184,241313.458,356878.2764
2026-04-28 17:44:44,22,64,42559,55003,119592.499,245281.917,364874.416
2026-04-28 17:45:44,22,64,43981,56442,123511.6719,249264.5957,372776.2676
2026-04-28 17:46:44,22,64,45445,57868,127580.9121,253229.9688,380810.8809
2026-04-28 17:47:44,22,64,46824,59302,131408.085,257204.2471,388612.332
2026-04-28 17:48:44,22,64,48253,60741,135331.9258,261170.9033,396502.8291
2026-04-28 17:49:44,22,64,49670,62182,139259.1172,265140.8975,404400.0146
2026-04-28 17:50:44,22,64,51131,63616,143292.3145,269107.1562,412399.4707
2026-04-28 17:51:44,22,64,52541,65052,147163.7676,273073.0664,420236.834
2026-04-28 17:52:44,22,64,53995,66502,151193.2793,277053.166,428246.4453
2026-04-28 17:53:45,22,64,55433,67947,155130.1484,281030.5508,436160.6992
2026-04-28 17:54:44,22,64,56918,69390,159208.3594,284992.6338,444200.9932
2026-04-28 17:55:44,22,64,58379,70835,163224.1855,288969.6982,452193.8838
2026-04-28 17:56:44,22,64,59846,72279,167250.0967,292940.6553,460190.752
2026-04-28 17:57:45,22,64,61233,73719,171064.3174,296903.21,467967.5273
2026-04-28 17:58:45,22,64,62666,75151,175052.8301,300880.9912,475933.8213
2026-04-28 17:59:45,22,64,64078,76570,178995.9805,304839.0479,483835.0283
2026-04-28 18:00:45,22,64,65482,77986,182929.8242,308806.1836,491736.0078
2026-04-28 18:01:45,22,64,66909,79412,186921.6016,312779.9463,499701.5479
2026-04-28 18:02:45,22,64,68340,80848,190877.3457,316752.6582,507630.0039
2026-04-28 18:03:45,22,64,69806,82276,194936.5381,320706.5352,515643.0732
2026-04-28 18:04:45,22,64,71230,83699,198896.0527,324676.0918,523572.1445
2026-04-28 18:05:44,1,1,0,84611,0.4814,327107.4551,327107.9365
2026-04-28 18:06:44,1,1,0,84611,0.4834,327107.457,327107.9404
2026-04-28 18:07:44,1,1,0,84611,0.4854,327107.459,327107.9443
2026-04-28 18:08:44,1,1,0,84611,0.4873,327107.4609,327107.9482
2026-04-28 18:09:44,1,1,0,84611,0.4893,327107.4629,327107.9521
2026-04-28 18:10:44,1,1,0,0,0.1416,0.0137,0.1553
2026-04-28 18:11:44,1,1,0,0,0.1416,0.0137,0.1553
2026-04-28 18:12:44,1,1,0,0,0.1436,0.0156,0.1592
2026-04-28 18:13:54,1,1,0,0,0.1475,0.0195,0.167
2026-04-28 18:14:53,3,7,64,62,829.7344,809.3584,1639.0928
2026-04-28 18:15:53,3,7,181,178,2000.1006,1965.4092,3965.5098
2026-04-28 18:16:53,3,7,299,296,3156.4932,3119.5566,6276.0498
2026-04-28 18:17:53,3,7,387,412,4011.6787,4261.7197,8273.3984
2026-04-28 18:18:53,3,7,507,529,5183.1797,5412.6328,10595.8125
2026-04-28 18:19:53,3,7,626,619,6358.8994,6298.4023,12657.3018
2026-04-28 18:20:53,3,7,745,737,7511.5107,7446.333,14957.8438
2026-04-28 18:21:53,3,7,863,854,8666.9541,8597.4863,17264.4404
2026-04-28 18:22:53,3,7,981,972,9833.5283,9763.7158,19597.2441
2026-04-28 18:23:53,3,7,1098,1089,10972.0537,10906.3418,21878.3955
2026-04-28 18:24:53,3,7,1200,1205,12074.3574,12044.8789,24119.2363
2026-04-28 18:25:53,3,7,1302,1319,12996.8105,13167.7402,26164.5508
2026-04-28 18:26:53,3,7,1420,1435,14156.8057,14325.5928,28482.3984
2026-04-28 18:27:53,3,7,1539,1553,15344.7607,15492.5381,30837.2988
2026-04-28 18:28:53,3,7,1658,1670,16536.3213,16677.1875,33213.5088
2026-04-28 18:29:53,3,7,1778,1759,17720.2188,17563.2021,35283.4209
2026-04-28 18:30:53,3,7,1895,1874,18879.1641,18701.6396,37580.8037
2026-04-28 18:31:53,3,7,1997,1991,19988.1982,19868.8877,39857.0859
2026-04-28 18:32:53,3,7,2116,2107,21171.6611,21027.1416,42198.8027
2026-04-28 18:33:53,3,7,2221,2223,22126.0693,22185.1299,44311.1992
2026-04-28 18:34:53,3,7,2341,2340,23306.334,23340.3584,46646.6924
2026-04-28 18:35:53,3,7,2458,2455,24492.5273,24520.7275,49013.2549
2026-04-28 18:36:53,3,7,2577,2572,25716.5234,25705.8877,51422.4111
2026-04-28 18:37:53,3,7,2681,2690,26885.6289,26923.4873,53809.1162
2026-04-28 18:38:53,3,7,2800,2807,28074.5781,28101.6846,56176.2627
2026-04-28 18:39:53,3,7,2917,2924,29263.4385,29289.0684,58552.5068
2026-04-28 18:40:53,3,7,3018,3010,30206.5244,30174.332,60380.8564
2026-04-28 18:41:53,3,7,3138,3129,31428.1191,31389.1953,62817.3145
2026-04-28 18:42:53,3,7,3257,3245,32663.7695,32596.167,65259.9365
2026-04-28 18:43:53,3,7,3361,3361,33844.8311,33809.2998,67654.1309
2026-04-28 18:44:53,3,7,3480,3476,35071.1094,34996.0576,70067.167
2026-04-28 18:45:53,3,7,3599,3594,36290.1562,36210.3633,72500.5195
2026-04-28 18:46:53,3,7,3718,3710,37502.084,37378.5752,74880.6592
2026-04-28 18:47:53,3,7,3822,3827,38464.0801,38583.0791,77047.1592
2026-04-28 18:48:53,3,7,3940,3946,39664.0605,39783.5537,79447.6143
2026-04-28 18:49:53,3,7,4058,4064,40841.9072,40967.9453,81809.8525
2026-04-28 18:50:53,3,7,4160,4179,41960.8047,42127.0176,84087.8223
2026-04-28 18:51:53,3,7,4277,4295,43126.7812,43279.3887,86406.1699
2026-04-28 18:52:53,3,7,4394,4411,44318.5615,44456.9189,88775.4805
2026-04-28 18:53:53,3,7,4513,4499,45503.1973,45334.2129,90837.4102
2026-04-28 18:54:53,3,7,4632,4616,46684.5439,46512.5186,93197.0625
2026-04-28 18:55:53,3,7,4748,4731,47832.5771,47651.5859,95484.1631
2026-04-28 18:56:53,3,7,4850,4846,48719.3711,48769.5244,97488.8955
2026-04-28 18:57:53,3,7,4966,4962,49852.0137,49878.1836,99730.1973
2026-04-28 18:58:53,3,7,5068,5076,50932.6494,50980.6221,101913.2715
2026-04-28 18:59:53,3,7,5184,5193,52070.9619,52121.8184,104192.7803
2026-04-28 19:00:53,3,7,5302,5307,53191.5869,53204.9229,106396.5098
2026-04-28 19:01:53,3,7,5417,5422,54315.7275,54330.9082,108646.6357
2026-04-28 19:02:53,3,7,5532,5539,55449.8506,55482.7539,110932.6045
2026-04-28 19:03:53,3,7,5647,5654,56569.5479,56602.9131,113172.4609
2026-04-28 19:04:53,3,7,5749,5741,57469.0244,57444.4404,114913.4648
2026-04-28 19:05:53,3,7,5865,5857,58610.3652,58586.0693,117196.4346
2026-04-28 19:06:53,3,7,5981,5971,59739.6123,59683.5947,119423.207
2026-04-28 19:07:53,3,7,6098,6086,60878.2012,60801.8193,121680.0205
2026-04-28 19:08:53,3,7,6214,6200,62023.4453,61928.3008,123951.7461
2026-04-28 19:09:53,3,7,6317,6316,63136.1582,63053.0342,126189.1924
2026-04-28 19:10:53,3,7,6433,6431,64292.5859,64194.5176,128487.1035
2026-04-28 19:11:53,3,7,6534,6547,65196.6777,65319.1729,130515.8506
2026-04-28 19:12:53,3,7,6649,6661,66315.4551,66426.793,132742.248
2026-04-28 19:13:53,3,7,6762,6776,67402.3252,67536.8223,134939.1475
2026-04-28 19:17:03,3,7,7122,7116,70796.2373,70827.1543,141623.3916
